Arquivo,Linha,Coluna,Código,Mensagem,Prioridade,Auto-corrigível
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/adapters/registry.py,19,32,F821,Undefined name `BaseAdapter`,1,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/adapters/registry.py,29,53,F821,Undefined name `BaseAdapter`,1,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/adapters/registry.py,56,62,F821,Undefined name `BaseAdapter`,1,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/adapters/registry.py,67,47,F821,Undefined name `BaseAdapter`,1,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/adapters/registry.py,96,26,F821,Undefined name `BaseAdapter`,1,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,28,23,None,SyntaxError: Expected ':'; found newline,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,30,24,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,30,25,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,32,5,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,32,7,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,32,20,None,SyntaxError: Expected an expression,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,33,1,None,SyntaxError: Unexpected indentation,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,50,1,None,SyntaxError: Unexpected indentation,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,52,1,None,SyntaxError: Unexpected indentation,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,52,21,None,SyntaxError: Invalid annotated assignment target,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,52,45,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,52,46,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,53,21,None,SyntaxError: Invalid annotated assignment target,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,53,52,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,53,53,None,SyntaxError: Expected a statement,9,Não
/home/pimentel/Workspace/pepperpy/pepperpy-ai/pepperpy/agents/factory.py,54,17,None,SyntaxError: Expected `except` or `finally` after `try` block,9,Não
